amount,bond_id,bond_type,bondsman_company,booking_id,conditions,created_date,exonerated,exonerated_datetime,person_id,posted,posted_datetime,poster_name,receipt_number
1000.0,BOND-e32fa957-787a-4257-8f2f-8883fe4ea08b,PERSONAL_RECOGNIZANCE,,f8b83b47-5e87-4d7c-8f37-a6bb1305d604,[],2025-09-11 15:33:51,False,,P-6D809FF683,True,2025-07-21 15:33:51,Joseph Garcia,RCPT-398232
500.0,BOND-e2412d93-6015-4f45-b450-3d172d497f5f,PERSONAL_RECOGNIZANCE,,eae3eb65-41aa-42e8-ae2b-74a98633518c,"[""TRAVEL_RESTRICTIONS"", ""SURRENDER_PASSPORT""]",2025-09-11 15:33:51,False,,P-2406185D47,False,,,
500.0,BOND-d4e63209-e3fd-4f19-9471-73d9ffab67c6,SURETY,Quick Release Bail,2277020f-7e8c-4a53-9800-e55f9808d7fb,[],2025-09-11 15:33:51,False,2025-09-09 15:33:51,P-E25EBA22F7,True,2025-08-16 15:33:51,Joyce Bruce,RCPT-255158
10000.0,BOND-526eeac1-21e3-4c6a-b82d-081c4184e99a,CASH,,b3e758ec-ea38-44f8-beb5-8668d1160d1b,"[""PRETRIAL_SUPERVISION"", ""TRAVEL_RESTRICTIONS""]",2025-09-11 15:33:51,False,,P-8AD9C0FA0E,False,,,
5000.0,BOND-3b6a4d67-fe14-47e3-beb1-ee8563f5672a,CASH,,f8309b7e-c1b8-4c98-9a29-a2a9ddeb8087,"[""TRAVEL_RESTRICTIONS""]",2025-09-11 15:33:51,False,,P-AA32F6618C,False,,,
1000.0,BOND-ac4be447-34d6-42c9-ab95-f9bd3256c9ec,CASH,,82766a57-1851-47f6-8ce8-425596b49bc4,[],2025-09-11 15:33:51,True,,P-0F0B4724F0,True,2025-07-29 15:33:51,Alexander Martin,RCPT-150378
500.0,BOND-6f5bb3cc-9315-4e05-a824-48a22c31ec5c,SURETY,,a4932240-28d9-4b3c-8c22-a4eaad4e7dd5,"[""NO_CONTACT""]",2025-09-11 15:33:51,False,,P-1A5E9DCFFB,False,,,
1000.0,BOND-97992e26-217a-4a6f-8deb-632f0965f64c,PROPERTY,,5a5fad68-9810-4f68-bddc-a71a7ed8b64f,"[""TRAVEL_RESTRICTIONS"", ""NO_CONTACT""]",2025-09-11 15:33:51,False,,P-DDD4238343,False,,,
10000.0,BOND-22b545bd-0a86-47ef-b499-eb78c621d7fb,PERSONAL_RECOGNIZANCE,,5664609d-69b9-4f05-be15-983db973ecbd,"[""NO_CONTACT""]",2025-09-11 15:33:51,False,,P-E37F6C0380,False,,,
500.0,BOND-f042aecf-6222-47d1-a13d-c3247ca910a3,SURETY,,3935cd4b-f8a7-4a2d-9528-3da4d36de3fd,"[""SURRENDER_PASSPORT""]",2025-09-11 15:33:51,False,,P-EC27845252,False,,,
2500.0,BOND-37265401-38ba-4d6c-aa9b-297ba8153917,PERSONAL_RECOGNIZANCE,,fd399e16-3ddc-4251-9289-a7dd34eb2e93,[],2025-09-11 15:33:51,False,,P-DC6A3D686A,False,,,
500.0,BOND-ee5aaad5-e87c-43ef-9852-8692806fd861,PERSONAL_RECOGNIZANCE,,4e8d3c24-c1f7-4ed3-b5ac-4ae62a2b418d,[],2025-09-11 15:33:51,False,,P-BB27D52D12,False,,,
5000.0,BOND-a78825cb-5f2e-4b69-899f-0ccfa488bd52,CASH,,0c451a1a-b18b-4ca3-95cb-cfbbb3980c30,[],2025-09-11 15:33:51,False,,P-DAB71E8FA2,False,,,
5000.0,BOND-445d50a9-804b-45d1-9f29-ed6f69992bc6,PROPERTY,,7c3b91f2-947f-4f05-9d96-f4ee88ce58aa,"[""PRETRIAL_SUPERVISION""]",2025-09-11 15:33:51,False,,P-5772E00F17,True,2025-08-06 15:33:51,Mark Chase,RCPT-386129
2500.0,BOND-35a5d180-ab2b-401a-b6a9-e11f852fe09c,CASH,,59360a2f-f616-495a-bd80-da98840dca2b,[],2025-09-11 15:33:51,True,,P-1A4E7F031A,False,,,
500.0,BOND-2ea08cb8-b6f0-4932-9e57-90a10c201024,CASH,,afbad746-07df-4e5a-81f2-624d863a2ae3,[],2025-09-11 15:33:51,False,,P-F139E1F9AE,False,,,
1000.0,BOND-99f894ee-533a-44b4-b33f-f3eaa067c751,PERSONAL_RECOGNIZANCE,,4f5cbd46-e521-4c17-9908-cf3df26545e3,[],2025-09-11 15:33:51,False,,P-C8A5DE6A3F,False,,,
2500.0,BOND-eca9e41a-2d2a-4187-8915-a837e0b2fbee,SURETY,,7b0953eb-c39b-4a81-88fa-4d75841e39d0,"[""NO_CONTACT"", ""SURRENDER_PASSPORT""]",2025-09-11 15:33:51,False,,P-A73DD8FB73,False,,,
1000.0,BOND-e2c564c1-7ef4-4596-9c9b-c1885eb0b677,PROPERTY,,78c1e831-bac4-431f-9d2f-044bee2ce439,[],2025-09-11 15:33:51,True,,P-B769C7BE61,False,,,
1000.0,BOND-5bd852ab-3054-4718-837d-c0ff6444ed23,SURETY,,d51b3240-a68a-4c73-ae35-016b25124ae2,[],2025-09-11 15:33:51,False,,P-A9656AE01B,False,,,
2500.0,BOND-9cd92d13-100d-4d1b-bb58-612b486b562c,SURETY,,8ae495c4-e251-4bb6-b0ed-474c1603908c,"[""NO_CONTACT""]",2025-09-11 15:33:51,False,,P-78DE57CB87,False,,,
